Item;Descrição (Item);Subgrupo (Código);item que tem tipo 2;item 1 que esta em ped
1568ZZ;PETROBRAS - CAMISA ATEN BR MANIA MASC MC - UNICOMFORT 6225 VD - CONF1A;203;s;#N/D
1570ZZ;PETROBRAS - CAMISETE GER BR MANIA MC - UNICOMFORT 6223 VD - CONF1A;204;s;#N/D
1572J;MARCOS - CALCA ELAST TOTAL - UNIFORTE 1009 CINZA - CONF1;107;s;#N/D
1572ZZ;PETROBRAS - CAMISA GER BR MANIA MASC MC - UNICOMFORT 6223 VD - CONF1A;203;s;#N/D
1576ZZ;PETROBRAS - CALCA ATEND BR MANIA MASC - UNIMAX 5421 CAQUI - CONF1;101;s;#N/D
1580ZZ;PETROBRAS - CALCA ATEND BR MANIA FEM - UNIMAX 5421 CAQUI - CONF1;101;s;#N/D
1583K;JLL - CALCA COS INTEIRO - UNIVERSAL 1414 AZUL ROYAL - CONF1;102;s;#N/D
1584K;MARCOPOLO - CALCA ELAST TOTAL - UNIVERSAL 1414 AZ RY - CONF1;107;s;#N/D
1586J;TUPY - CALCA MEIO ELAST RETARD CH - CEDROTECH FR 1052 VERMELHO - CONF1;108;s;#N/D
1586ZZ;PETROBRAS - CAMISETE OPER MC - UNICOMFORT FLEX 6225 VD LIMAO - CONF1A;204;s;#N/D
1589K;ECOFAR - CALCA ELAST TOTAL C CORDAO - UNIVERSAL 1414 AZ RY - CONF1;107;s;#N/D
1592J;RECH - CALCA ELAST TOTAL - SARJA 250GR 5280 AZ RY - CONF1;107;s;#N/D
1596J;POSTO TIMBOZAO - CALCA JEANS MASC - UNITECH 5008 MARINHO - CONF1;104;s;#N/D
1597E;TECNOVIN - CALCA ELAST TOTAL RETARD - CEDROTECH 5098 AZ RY - CONF;109;s;#N/D
1598J;JA DE MATOS - CALCA ELAST TOTAL - SARJA 250 CINZA 8260 CINZA - CONF1;107;s;#N/D
1600D;BELLA DONA - CALCA ELAST TOTAL - UNILESTER 2008 AZ MARINHO - CONF;100;s;#N/D
1608H;TEVERE - CALCA ELAST TOTAL RETARD CHAMAS - CEDROTECH FR 5228  - CONF1;108;s;#N/D
